Week,Pine,Hemsworth,Evans,Pratt
2017-04-16,1,1,4,8
2017-04-23,1,1,3,7
2017-04-30,1,1,3,9
2017-05-07,6,2,4,13
2017-05-14,1,2,3,9
2017-05-21,1,2,3,6
2017-05-28,3,1,3,6
2017-06-04,6,2,3,5
2017-06-11,4,1,4,4
2017-06-18,3,1,3,5
2017-06-25,3,1,3,5
2017-07-02,3,1,3,4
2017-07-09,2,2,3,4
2017-07-16,2,2,4,4
2017-07-23,2,2,4,4
2017-07-30,1,2,3,4
2017-08-06,2,1,4,89
2017-08-13,1,1,4,15
2017-08-20,1,1,3,7
2017-08-27,1,1,2,5
2017-09-03,1,1,3,5
2017-09-10,1,1,2,5
2017-09-17,1,1,2,5
2017-09-24,1,1,2,4
2017-10-01,1,1,2,4
2017-10-08,1,2,2,4
2017-10-15,1,2,2,4
2017-10-22,1,2,2,5
2017-10-29,1,3,2,4
2017-11-05,1,5,3,3
2017-11-12,1,4,3,3
2017-11-19,1,3,2,4
2017-11-26,1,2,4,5
2017-12-03,1,1,3,11
2017-12-10,1,2,4,6
2017-12-17,1,2,2,5
2017-12-24,1,2,3,5
2017-12-31,1,2,3,5
2018-01-07,1,3,3,4
2018-01-14,1,3,3,5
2018-01-21,1,2,2,4
2018-01-28,1,2,3,4
2018-02-04,1,3,4,9
2018-02-11,2,2,3,4
2018-02-18,2,2,4,4
2018-02-25,1,2,3,7
2018-03-04,1,2,3,4
2018-03-11,1,2,3,4
2018-03-18,1,2,6,4
2018-03-25,1,2,5,4
2018-04-01,1,2,4,5
2018-04-08,1,2,4,5
2018-04-15,1,2,3,5
2018-04-22,1,3,8,7
2018-04-29,1,6,11,10
2018-05-06,1,5,9,9
2018-05-13,1,4,7,7
2018-05-20,1,4,5,13
2018-05-27,1,3,4,8
2018-06-03,1,3,4,7
2018-06-10,1,3,5,10
2018-06-17,1,3,4,46
2018-06-24,1,3,4,17
2018-07-01,1,3,4,12
2018-07-08,1,2,4,9
2018-07-15,1,2,3,7
2018-07-22,1,3,3,8
2018-07-29,1,2,4,12
2018-08-05,2,2,4,8
2018-08-12,2,3,4,7
2018-08-19,1,2,4,6
2018-08-26,1,2,3,5
2018-09-02,1,2,3,5
2018-09-09,1,2,3,6
2018-09-16,1,2,3,6
2018-09-23,1,2,3,5
2018-09-30,1,2,11,5
2018-10-07,1,2,5,5
2018-10-14,1,2,4,4
2018-10-21,1,2,3,3
2018-10-28,1,2,3,4
2018-11-04,2,2,3,4
2018-11-11,2,2,3,4
2018-11-18,1,2,3,4
2018-11-25,1,2,2,4
2018-12-02,1,2,3,4
2018-12-09,1,2,3,7
2018-12-16,2,2,3,4
2018-12-23,3,6,4,6
2018-12-30,2,4,4,5
2019-01-06,5,3,4,6
2019-01-13,2,3,3,47
2019-01-20,2,2,4,9
2019-01-27,2,2,3,7
2019-02-03,1,2,3,9
2019-02-10,1,3,3,12
2019-02-17,1,3,3,6
2019-02-24,1,2,9,4
2019-03-03,1,2,4,4
2019-03-10,1,2,4,5
2019-03-17,1,3,4,4
2019-03-24,1,2,7,5
2019-03-31,1,2,5,4
2019-04-07,1,3,5,4
2019-04-14,1,3,5,4
2019-04-21,1,6,10,6
2019-04-28,1,11,21,10
2019-05-05,1,8,17,6
2019-05-12,1,4,10,5
2019-05-19,1,3,7,5
2019-05-26,1,4,7,6
2019-06-02,1,5,9,4
2019-06-09,1,5,7,21
2019-06-16,1,5,5,6
2019-06-23,1,3,5,6
2019-06-30,1,3,7,6
2019-07-07,1,2,5,4
2019-07-14,1,3,5,9
2019-07-21,1,3,5,4
2019-07-28,1,2,6,4
2019-08-04,1,3,7,4
2019-08-11,1,5,5,4
2019-08-18,1,4,5,4
2019-08-25,1,2,4,3
2019-09-01,1,3,4,3
2019-09-08,1,2,4,3
2019-09-15,1,2,3,2
2019-09-22,1,1,3,2
2019-09-29,1,2,3,2
2019-10-06,1,2,3,2
2019-10-13,1,2,3,2
2019-10-20,1,2,3,3
2019-10-27,1,1,3,7
2019-11-03,1,1,6,3
2019-11-10,1,1,4,3
2019-11-17,1,2,4,3
2019-11-24,1,2,5,3
2019-12-01,1,2,4,4
2019-12-08,1,2,4,3
2019-12-15,1,2,4,3
2019-12-22,1,2,5,3
2019-12-29,1,2,6,4
2020-01-05,1,3,7,4
2020-01-12,1,2,4,3
2020-01-19,1,2,4,3
2020-01-26,1,1,6,2
2020-02-02,1,2,8,3
2020-02-09,1,2,5,4
2020-02-16,1,2,4,6
2020-02-23,1,1,4,3
2020-03-01,1,1,4,4
2020-03-08,1,1,3,3
2020-03-15,1,2,4,3
2020-03-22,1,2,5,4
2020-03-29,1,2,5,4
2020-04-05,1,3,6,4
2020-04-12,1,3,5,3
2020-04-19,1,7,6,4
2020-04-26,1,9,6,8
2020-05-03,1,5,5,5
2020-05-10,1,3,6,4
2020-05-17,1,3,6,3
2020-05-24,1,3,6,3
2020-05-31,1,2,5,3
2020-06-07,1,2,6,3
2020-06-14,1,2,5,3
2020-06-21,1,2,5,4
2020-06-28,1,3,4,3
2020-07-05,1,3,7,3
2020-07-12,1,2,6,3
2020-07-19,1,2,6,3
2020-07-26,1,2,4,2
2020-08-02,1,2,4,3
2020-08-09,1,2,5,8
2020-08-16,1,2,3,3
2020-08-23,1,2,5,3
2020-08-30,1,2,4,2
2020-09-06,1,2,12,3
2020-09-13,1,2,100,5
2020-09-20,1,1,9,3
2020-09-27,1,1,5,3
2020-10-04,1,2,6,4
2020-10-11,1,1,5,3
2020-10-18,1,2,5,36
2020-10-25,1,1,6,5
2020-11-01,1,1,3,3
2020-11-08,1,1,4,3
2020-11-15,1,2,6,3
2020-11-22,1,3,5,3
2020-11-29,1,2,4,3
2020-12-06,1,2,6,2
2020-12-13,1,2,5,4
2020-12-20,3,2,5,3
2020-12-27,4,2,6,3
2021-01-03,2,2,6,3
2021-01-10,1,2,7,3
2021-01-17,1,2,6,3
2021-01-24,1,2,5,2
2021-01-31,1,2,5,6
2021-02-07,1,3,6,3
2021-02-14,1,2,6,3
2021-02-21,1,2,6,2
2021-02-28,1,2,6,2
2021-03-07,1,2,6,2
2021-03-14,1,2,6,2
2021-03-21,1,2,7,4
2021-03-28,1,2,8,3
2021-04-04,1,2,7,2
2021-04-11,1,2,8,2
2021-04-18,1,2,14,2
