Team	S_Games	S_Gold	S_Silver	S_Bronze	S_Total	W_Games	W_Gold	W_Silver	W_Bronze	W_Total
AFG	15	0	0	2	2	0	0	0	0	0
ALG	14	5	4	8	17	3	0	0	0	0
ARG	25	21	26	30	77	20	0	0	0	0
ARM	7	2	8	8	18	8	0	0	0	0
ANZ	2	3	4	5	12	0	0	0	0	0
AUS	27	164	173	210	547	20	6	7	6	19
AUT	28	20	35	41	96	24	71	88	91	250
AZE	7	7	14	28	49	7	0	0	0	0
BAH	17	8	2	6	16	0	0	0	0	0
BRN	10	2	2	0	4	0	0	0	0	0
BAR	13	0	0	1	1	0	0	0	0	0
BLR	7	13	30	42	85	8	8	7	5	20
BEL	27	44	56	57	157	22	2	2	4	8
BER	19	1	0	1	2	8	0	0	0	0
BOH	3	0	1	3	4	0	0	0	0	0
BOT	11	0	1	1	2	0	0	0	0	0
BRA	23	37	42	71	150	9	0	0	0	0
BWI	1	0	0	2	2	0	0	0	0	0
BUL	21	54	88	82	224	21	1	2	3	6
BUR	10	0	0	1	1	0	0	0	0	0
BDI	7	1	1	0	2	0	0	0	0	0
CMR	15	3	1	2	6	1	0	0	0	0
CAN	27	71	109	146	326	24	77	72	76	225
CHI	24	2	7	4	13	18	0	0	0	0
CHN	11	262	199	173	634	12	22	32	23	77
COL	20	5	13	16	34	3	0	0	0	0
CRC	16	1	1	2	4	6	0	0	0	0
CIV	14	1	1	2	4	0	0	0	0	0
CRO	8	14	13	14	41	9	4	6	1	11
CUB	21	84	69	82	235	0	0	0	0	0
CYP	11	0	1	0	1	12	0	0	0	0
CZE	7	19	21	27	67	8	10	11	12	33
TCH	16	49	49	45	143	16	2	8	15	25
DEN	28	48	78	79	205	15	0	1	0	1
DJI	9	0	0	1	1	0	0	0	0	0
DOM	15	3	5	4	12	0	0	0	0	0
ECU	15	3	2	0	5	2	0	0	0	0
EGY	23	8	11	19	38	1	0	0	0	0
ERI	6	0	0	1	1	2	0	0	0	0
EST	13	10	9	17	36	11	4	2	2	8
ETH	14	23	12	23	58	2	0	0	0	0
FIJ	15	2	0	1	3	3	0	0	0	0
FIN	26	101	85	119	305	24	45	65	65	175
FRA	29	223	251	277	751	24	41	42	55	138
GAB	11	0	1	0	1	0	0	0	0	0
GEO	7	10	12	18	40	8	0	0	0	0
GER	17	201	207	247	655	13	104	98	65	267
EUA	3	28	54	36	118	3	8	6	5	19
GDR	5	153	129	127	409	6	39	36	35	110
FRG	5	56	67	81	204	6	11	15	13	39
GHA	15	0	1	4	5	3	0	0	0	0
GBR	29	284	318	314	916	24	12	5	17	34
GRE	29	35	45	41	121	20	0	0	0	0
GRN	10	1	1	1	3	0	0	0	0	0
GUA	15	0	1	0	1	1	0	0	0	0
GUY	18	0	0	1	1	0	0	0	0	0
HAI	16	0	1	1	2	1	0	0	0	0
HKG	17	2	3	4	9	6	0	0	0	0
HUN	27	181	154	176	511	24	2	2	6	10
ISL	21	0	2	2	4	19	0	0	0	0
IND	25	10	9	16	35	11	0	0	0	0
INA	16	8	14	15	37	0	0	0	0	0
IRI	17	24	23	29	76	12	0	0	0	0
IRQ	15	0	0	1	1	0	0	0	0	0
IRL	22	11	10	14	35	8	0	0	0	0
ISR	17	3	1	9	13	8	0	0	0	0
ITA	28	217	188	213	618	24	42	43	56	141
JAM	18	26	36	25	87	9	0	0	0	0
JPN	23	169	150	178	497	22	17	28	31	76
JOR	11	1	1	1	3	0	0	0	0	0
KAZ	7	15	22	35	72	8	1	3	4	8
KEN	15	35	42	36	113	4	0	0	0	0
KOS	2	3	0	0	3	2	0	0	0	0
PRK	10	16	16	23	55	9	0	1	1	2
KOR	18	96	91	100	287	19	33	30	16	79
KUW	13	0	0	3	3	0	0	0	0	0
KGZ	7	0	3	4	7	8	0	0	0	0
LAT	12	4	11	6	21	12	1	3	6	10
LIB	18	0	2	2	4	18	0	0	0	0
LIE	18	0	0	0	0	20	2	2	6	10
LTU	10	6	7	13	26	10	0	0	0	0
LUX	25	2	1	0	3	10	0	2	0	2
MAS	14	0	8	5	13	2	0	0	0	0
MRI	10	0	0	1	1	0	0	0	0	0
MEX	24	13	24	35	72	10	0	0	0	0
MDA	7	0	2	4	6	8	0	0	0	0
MGL	14	2	11	17	30	15	0	0	0	0
MNE	4	0	1	0	1	4	0	0	0	0
MAR	15	7	5	12	24	8	0	0	0	0
MOZ	11	1	0	1	2	0	0	0	0	0
NAM	8	0	5	0	5	0	0	0	0	0
NED	27	95	105	122	322	22	53	49	45	147
AHO	13	0	1	0	1	2	0	0	0	0
NZL	24	53	33	51	137	17	2	2	2	6
NIG	13	0	1	1	2	0	0	0	0	0
NGR	17	3	11	13	27	2	0	0	0	0
MKD	7	0	1	1	2	7	0	0	0	0
NOR	27	62	51	50	163	24	148	133	124	405
PAK	18	3	3	4	10	4	0	0	0	0
PAN	18	1	0	2	3	0	0	0	0	0
PAR	13	0	1	0	1	1	0	0	0	0
PER	19	1	3	0	4	3	0	0	0	0
PHI	22	1	5	8	14	6	0	0	0	0
POL	22	72	89	137	298	24	7	7	9	23
POR	25	5	9	14	28	9	0	0	0	0
PUR	19	2	2	6	10	8	0	0	0	0
QAT	10	2	2	4	8	0	0	0	0	0
ROU	22	90	97	121	308	22	0	0	1	1
RUS	6	149	126	151	426	6	47	39	35	121
RU1	3	1	4	3	8	0	0	0	0	0
URS	9	395	319	296	1010	9	78	57	59	194
EUN	1	45	38	29	112	1	9	6	8	23
OAR	0	0	0	0	0	1	2	6	9	17
ROC	1	20	28	23	71	1	6	12	14	32
SMR	15	0	1	2	3	11	0	0	0	0
KSA	12	0	2	2	4	1	0	0	0	0
SAM	10	0	1	0	1	0	0	0	0	0
SEN	15	0	1	0	1	5	0	0	0	0
SRB	5	6	7	11	24	4	0	0	0	0
SCG	3	2	4	3	9	3	0	0	0	0
SGP	17	1	2	2	5	1	0	0	0	0
SVK	7	10	14	8	32	8	4	4	2	10
SLO	8	8	9	11	28	9	4	8	12	24
RSA	20	27	33	29	89	7	0	0	0	0
ESP	24	48	72	49	169	21	1	1	3	5
SRI	18	0	2	0	2	0	0	0	0	0
SUD	13	0	1	0	1	0	0	0	0	0
SUR	13	1	0	1	2	0	0	0	0	0
SWE	28	148	176	179	503	24	65	51	60	176
SUI	29	53	79	74	206	24	63	47	58	168
SYR	14	1	1	2	4	0	0	0	0	0
TPE	15	7	11	18	36	13	0	0	0	0
TJK	7	1	1	2	4	4	0	0	0	0
TAN	14	0	2	0	2	0	0	0	0	0
THA	17	10	8	17	35	5	0	0	0	0
TOG	11	0	0	1	1	2	0	0	0	0
TGA	10	0	1	0	1	2	0	0	0	0
TTO	18	3	5	11	19	4	0	0	0	0
TUN	15	5	3	7	15	0	0	0	0	0
TUR	23	41	26	37	104	18	0	0	0	0
TKM	7	0	1	0	1	0	0	0	0	0
UGA	16	4	4	3	11	0	0	0	0	0
UKR	7	35	36	68	139	8	3	2	4	9
UAE	10	1	0	1	2	0	0	0	0	0
USA	28	1060	831	738	2629	24	113	122	95	330
URU	22	2	2	6	10	1	0	0	0	0
UZB	7	10	6	20	36	8	1	0	0	1
VEN	19	3	7	9	19	4	0	0	0	0
VIE	16	1	3	1	5	0	0	0	0	0
ISV	13	0	1	0	1	8	0	0	0	0
YUG	16	26	29	28	83	14	0	3	1	4
ZAM	14	0	1	1	2	0	0	0	0	0
ZIM	14	3	4	1	8	1	0	0	0	0
