Country;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
EU;447 671 046;449 297 063;449 121 599;448 233 662;446 754 877;444 471 621;441 220 961;437 085 910;432 474 413;428 059 060;424 343 512;421 445 188;419 259 692;417 692 131;416 706 966;416 232 826;416 074 441
Europe;342 842 872;345 477 184;346 572 956;347 098 460;347 072 411;346 243 274;344 415 478;341 690 938;338 523 647;335 589 050;333 325 172;331 746 604;330 669 667;329 951 001;329 523 283;329 334 845;329 296 447
Belgium;11 507 338;11 661 206;11 757 990;11 835 820;11 894 881;11 927 324;11 926 987;11 900 354;11 865 788;11 841 493;11 833 541;11 835 088;11 836 508;11 835 842;11 836 801;11 843 931;11 854 389
Bulgaria;6 949 549;6 690 388;6 450 296;6 224 049;6 016 719;5 828 425;5 655 026;5 490 809;5 332 585;5 182 122;5 045 851;4 930 919;4 841 511;4 780 227;4 748 136;4 738 465;4 737 768
Czechia;10 693 861;10 789 806;10 762 174;10 694 436;10 625 402;10 571 354;10 530 251;10 484 879;10 414 088;10 316 335;10 213 463;10 135 219;10 096 616;10 092 102;10 115 533;10 159 885;10 207 345
Denmark;5 811 651;5 884 275;5 963 578;6 018 816;6 055 503;6 080 087;6 098 190;6 111 785;6 122 611;6 135 199;6 153 605;6 176 011;6 197 237;6 211 904;6 221 306;6 232 099;6 247 128
Germany;83 135 181;83 482 307;83 453 697;83 318 670;83 178 426;82 983 422;82 669 724;82 248 032;81 842 817;81 643 599;81 695 911;81 860 528;82 024 654;82 206 988;82 460 551;82 802 989;83 201 514
Estonia;1 329 916;1 322 440;1 308 435;1 294 043;1 281 555;1 269 633;1 256 223;1 241 009;1 224 839;1 208 861;1 193 810;1 179 861;1 166 985;1 156 184;1 149 320;1 146 523;1 145 053
Ireland;4 966 879;5 272 930;5 504 390;5 714 371;5 904 540;6 073 416;6 213 191;6 319 998;6 398 732;6 455 703;6 496 490;6 527 024;6 553 563;6 578 345;6 598 023;6 608 821;6 610 753
Greece;10 696 535;10 510 196;10 303 200;10 104 622;9 910 798;9 713 851;9 503 127;9 275 824;9 038 456;8 808 147;8 603 587;8 440 047;8 323 658;8 247 927;8 198 911;8 165 189;8 142 699
Spain;47 321 434;48 310 619;48 746 399;49 110 869;49 377 094;49 479 880;49 348 530;48 962 188;48 385 094;47 728 675;47 104 113;46 610 064;46 298 547;46 133 205;46 026 075;45 917 623;45 789 061
France;67 197 367;68 036 808;68 749 400;69 354 321;69 802 409;70 015 780;70 010 903;69 874 367;69 680 713;69 513 952;69 429 375;69 415 942;69 424 614;69 444 994;69 501 144;69 582 477;69 651 714
Croatia;4 056 285;3 936 509;3 828 089;3 721 032;3 612 487;3 502 067;3 392 559;3 289 125;3 195 202;3 110 857;3 034 601;2 966 083;2 906 946;2 858 581;2 820 808;2 793 176;2 775 929
Italy;60 286 529;60 088 529;59 942 512;59 709 982;59 375 006;58 870 898;58 125 032;57 131 834;55 989 561;54 875 845;53 951 155;53 274 219;52 793 198;52 402 869;52 042 682;51 708 538;51 415 877
Cyprus;887 331;928 295;962 854;990 814;1 012 858;1 030 807;1 046 219;1 060 363;1 074 126;1 087 160;1 098 070;1 105 861;1 110 467;1 112 719;1 114 031;1 115 712;1 118 198
Latvia;1 907 094;1 815 550;1 712 746;1 618 827;1 536 108;1 462 550;1 395 039;1 332 302;1 275 102;1 224 806;1 181 968;1 146 289;1 117 481;1 096 480;1 084 591;1 080 838;1 081 686
Lithuania;2 793 592;2 707 915;2 575 553;2 452 313;2 339 698;2 236 142;2 137 939;2 044 673;1 959 630;1 886 272;1 825 897;1 777 648;1 738 949;1 708 535;1 688 303;1 679 531;1 680 055
Luxembourg;626 031;662 364;692 722;718 104;739 137;756 215;769 048;777 714;782 884;785 866;787 429;787 829;787 026;785 407;783 653;782 306;781 193
Hungary;9 771 975;9 697 220;9 619 020;9 532 830;9 441 139;9 350 754;9 270 352;9 197 156;9 117 095;9 023 553;8 926 914;8 846 058;8 788 851;8 750 117;8 724 890;8 713 625;8 714 260
Malta;506 951;557 426;588 691;614 214;634 910;652 604;668 373;682 156;693 613;702 103;706 915;707 996;705 925;701 660;696 817;692 702;689 359
Netherlands;17 404 793;17 751 055;17 969 884;18 119 551;18 185 792;18 185 796;18 142 292;18 076 179;18 014 595;17 983 158;17 988 244;18 010 401;18 020 249;18 009 343;17 988 115;17 971 254;17 967 454
Austria;8 904 262;9 029 008;9 149 001;9 232 708;9 292 363;9 332 840;9 345 829;9 328 259;9 293 065;9 262 385;9 247 303;9 241 159;9 233 330;9 223 934;9 219 300;9 224 015;9 236 567
Poland;37 941 122;37 567 248;37 018 453;36 369 328;35 661 656;34 897 373;34 102 204;33 306 428;32 519 968;31 719 540;30 890 756;30 061 943;29 295 630;28 657 545;28 185 373;27 868 033;27 655 094
Portugal;10 291 457;10 220 601;10 089 138;9 948 994;9 786 632;9 593 258;9 375 347;9 144 153;8 910 843;8 686 117;8 481 486;8 314 061;8 193 261;8 110 422;8 050 731;8 006 774;7 980 639
Romania;19 281 118;18 507 547;17 808 000;17 169 288;16 576 187;16 018 918;15 502 837;15 015 940;14 540 962;14 089 550;13 688 060;13 359 773;13 110 335;12 939 780;12 838 968;12 792 287;12 780 621
Slovenia;2 095 314;2 114 603;2 106 316;2 094 654;2 081 622;2 065 380;2 043 751;2 017 464;1 989 404;1 962 358;1 938 253;1 917 972;1 902 751;1 893 268;1 889 004;1 888 128;1 888 364
Slovakia;5 457 679;5 467 891;5 440 730;5 384 612;5 312 439;5 232 249;5 147 215;5 055 599;4 953 801;4 841 265;4 724 046;4 612 636;4 516 760;4 442 496;4 391 975;4 362 458;4 346 004
Finland;5 527 189;5 537 441;5 519 298;5 480 971;5 426 143;5 361 229;5 290 709;5 218 470;5 150 584;5 091 285;5 037 579;4 981 979;4 921 741;4 860 383;4 803 256;4 755 036;4 715 868
Sweden;10 322 613;10 746 886;11 099 033;11 405 423;11 693 373;11 979 369;12 254 064;12 498 850;12 708 255;12 892 854;13 065 090;13 222 578;13 352 899;13 450 874;13 528 669;13 600 411;13 659 849
EFTA;14 351 281;14 815 574;15 299 971;15 738 882;16 137 269;16 505 466;16 843 317;17 147 279;17 427 684;17 705 203;17 992 983;18 286 670;18 575 338;18 858 943;19 146 927;19 448 049;19 762 077
Iceland;365 042;395 636;416 990;437 131;455 871;473 187;489 302;504 728;519 819;534 554;548 624;561 859;574 279;586 186;598 061;610 441;623 468
Liechtenstein;38 640;39 921;41 016;41 861;42 531;43 075;43 513;43 862;44 184;44 561;45 020;45 568;46 177;46 833;47 576;48 428;49 376
Norway;5 367 329;5 568 543;5 765 319;5 941 336;6 095 952;6 232 241;6 351 119;6 453 877;6 544 661;6 628 516;6 709 767;6 787 501;6 855 562;6 911 209;6 958 409;7 003 014;7 046 899
Switzerland;8 580 270;8 811 474;9 076 646;9 318 554;9 542 915;9 756 963;9 959 383;10 144 812;10 319 020;10 497 572;10 689 572;10 891 742;11 099 320;11 314 715;11 542 881;11 786 166;12 042 334
