Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Scotland
Areal series, starting in 1836
Last updated 01-Mar-2022 11:05
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1836  163.7   95.9  146.2   92.0   16.6   87.7  150.4   89.1  157.7  156.6  169.7  178.6     ---   254.8   327.2   484.0  1504.1
1837   68.1  136.5   49.3   69.7   51.1   74.5  120.6  104.2   79.5  128.8  136.1  117.0   383.2   170.1   299.2   344.4  1135.3
1838   49.0   45.3  105.7   71.6   63.8  155.8  114.8  129.7   99.6  113.5  119.0  105.4   211.3   241.1   400.3   332.1  1173.3
1839  113.8   90.5  112.0   39.5   57.4   72.0   87.7   85.8  186.8  125.3   97.9  129.9   309.8   208.9   245.5   410.0  1198.7
1840  169.9   77.1   23.4   32.7  105.3   95.6  101.5   93.7  149.8  101.5  110.6   71.2   376.9   161.4   290.8   361.9  1132.3
1841   98.2   73.5   86.3   71.4   73.8   67.0   98.6  153.5  107.1  177.4   99.6  166.9   242.9   231.6   319.1   384.1  1273.4
1842   92.7  107.0  155.5    6.5   71.1   82.4   77.5   83.2   96.3   91.6  107.2  167.9   366.5   233.1   243.1   295.1  1138.8
1843  173.3   42.3   60.0  118.2   81.6   50.7  123.5   96.9   40.4  191.4  155.2   75.5   383.4   259.8   271.0   387.0  1208.9
1844  117.0  124.9  112.7   52.3   19.7  109.9   84.6   94.6   72.7   83.6  166.5   40.1   317.3   184.7   289.1   322.8  1078.6
1845  120.0   73.3   96.1   51.4   46.9   95.0   86.6  103.4  111.0  208.7  150.5  194.7   233.5   194.4   285.0   470.2  1337.8
1846  131.4  104.2  115.0   84.6   59.0  122.5  161.3  149.0   85.8  190.9  125.2   74.1   430.3   258.6   432.8   401.9  1403.1
1847   58.7   65.7   41.1   93.5  103.5   86.2   78.4   83.0  110.7  172.2  160.9  193.6   198.6   238.1   247.7   443.8  1247.7
1848   82.2  261.6  118.4   66.5   49.6  136.0  117.5   99.3   46.3  136.7  158.8  116.2   537.4   234.6   352.9   341.8  1389.3
1849  216.4  135.5   63.6   66.5   69.9   73.2  122.3   94.2   75.3   95.5  141.8   88.6   468.2   200.0   289.6   312.6  1242.7
1850   86.3  190.1   49.8   81.7   76.4   73.5   77.5  137.5   86.0  131.2  170.3  140.7   365.0   207.9   288.5   387.5  1300.9
1851  183.0   88.6  148.8   64.6   37.9   97.5  108.3  112.0   39.1  117.6   63.3   81.0   412.2   251.3   317.8   220.0  1141.7
1852  248.3  135.2   21.2   18.4   68.9   99.1  103.9  108.1   70.9  106.3  164.8  307.0   464.5   108.5   311.0   342.0  1452.0
1853  192.0   74.0   45.7   77.0   24.7   95.5  123.3   91.1  105.5  184.5  107.5   39.2   572.9   147.3   310.0   397.5  1160.1
1854  149.2  107.7   87.7   43.1  100.7  107.6   89.3   92.2   81.7  158.8  116.2  198.3   296.2   231.5   289.1   356.8  1332.6
1855   54.0   35.6   95.0   77.0   45.5   73.8  103.3  120.6   42.2  147.1   52.1  107.6   287.9   217.5   297.6   241.4   953.8
1856   79.2  126.0    8.6   71.1   73.8  144.4  113.6   93.3  131.5   59.2   84.8  161.2   312.8   153.6   351.3   275.4  1146.7
1857  131.6   80.7  110.6   72.8   55.8   73.5   88.7   64.9  119.5   91.2   99.7  169.7   373.5   239.2   227.1   310.4  1158.8
1858  133.1   39.9   81.7   66.1  100.2   86.8  139.8   87.2   97.3  147.3   61.6  150.2   342.8   248.0   313.7   306.2  1191.2
1859  166.4  134.8  160.9  113.2    9.5   58.1   81.5   95.8  127.1  149.5  116.5  138.3   451.5   283.6   235.4   393.1  1351.7
1860  129.1   97.7  136.8   48.3   78.7  124.4   64.9  125.5   72.3  187.3   80.0   98.7   365.1   263.7   314.7   339.6  1243.5
1861  105.3  112.5  173.9   27.1   51.0   77.3  126.7  210.9  167.1  108.2  218.2  110.1   316.5   252.1   414.9   493.5  1488.4
1862  162.8   62.6  106.8  100.2  118.2  128.6  128.4  106.3   73.4  222.1   87.9  183.3   335.5   325.2   363.3   383.4  1480.5
1863  228.5  117.7   78.0  128.0   78.7  102.6   24.5  159.0  185.7  130.3  132.7  200.1   529.4   284.7   286.1   448.7  1565.6
1864  105.6  131.0  125.7   60.1   61.3   97.3   84.2   68.5  173.9  152.0  138.8  150.3   436.6   247.1   250.0   464.6  1348.6
1865  144.9   96.8   79.0   38.3   93.2   28.2  103.0  127.4   55.2  138.9  111.1  136.4   392.1   210.6   258.6   305.3  1152.6
1866  208.2  165.7  101.9   60.4   48.6   58.7   90.0  138.1  157.4   98.3  161.1  207.5   510.3   210.8   286.8   416.8  1495.8
1867  141.2  128.0   68.6  161.6   72.3   76.6  116.9   98.5  118.1  165.1   49.1  131.2   476.6   302.5   292.0   332.4  1327.2
1868  217.3  233.8  163.5  105.9   90.4   65.7   28.8  194.0   89.2  158.2  105.1  205.1   582.3   359.8   288.5   352.5  1657.1
1869  165.5  171.1   58.5   72.2   39.8   61.4   66.8   52.2  197.6  125.0  180.7  173.9   541.7   170.5   180.4   503.2  1364.6
1870   96.9  111.8   41.6   82.9   92.3   59.5   68.6   53.5  116.6  156.9   91.9  116.5   382.6   216.8   181.6   365.4  1089.0
1871  101.9  143.9  101.5  102.7   37.2   56.0  143.9  104.7   81.1  128.8  102.1  146.7   362.3   241.4   304.5   312.0  1250.4
1872  211.1  141.2   90.9   77.8  105.5  175.8  108.4  121.6  195.3  171.8  194.6  170.9   499.1   274.3   405.9   561.7  1765.1
