Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total duration of bright sunshine for Scotland
Areal series, starting in 1919
Last updated 01-Mar-2022 11:05
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1919   33.2   57.9  104.7  103.8  188.2  157.2  174.7  153.3  119.2   80.6   45.9   27.5     ---   396.8   485.1   245.7  1246.3
1920   32.4   56.5   85.0  111.5  155.0  207.6  122.2  115.8   98.9   80.0   38.9   36.2   116.4   351.5   445.7   217.8  1140.0
1921   28.3   53.8   83.6  164.0  181.6  205.5  156.9  121.9  105.3   60.7   49.1   23.1   118.2   429.2   484.3   215.0  1233.6
1922   28.9   43.3   89.9  152.2  168.6  141.0  118.8  117.9   94.4   93.2   44.4   23.6    95.3   410.7   377.7   232.0  1116.3
1923   29.6   34.7  120.1  126.6  145.5  115.1  128.9  113.3  108.7   88.2   51.9   28.9    87.9   392.2   357.3   248.8  1091.6
1924   28.3   45.8   93.0  124.0  125.2  156.3  130.6   83.7  113.6   77.0   40.1   25.0   103.0   342.2   370.6   230.7  1042.5
1925   32.9   47.4   88.2  152.2  123.7  220.9  142.3  124.6   95.9   73.6   68.1   29.5   105.3   364.1   487.8   237.5  1199.2
1926   26.5   43.6   80.3  119.0  179.4  163.6  170.7  148.1  109.0   87.0   53.5   27.7    99.6   378.7   482.4   249.5  1208.4
1927   29.5   60.8  100.9  133.3  155.1  168.7  134.8  134.6   83.4   79.9   49.9   25.7   117.9   389.3   438.1   213.2  1156.5
1928   32.1   66.9   56.7  119.6  152.8  169.1  117.7  116.2  135.2   77.0   43.1   27.9   124.7   329.1   403.0   255.3  1114.3
1929   38.1   52.6  149.8  149.9  181.7  178.0  138.3  102.2  100.2   77.4   44.4   33.0   118.6   481.4   418.4   222.0  1245.5
1930   36.6   79.2  100.6  125.7  169.8  199.0  108.7  112.2   78.2   67.1   49.1   25.8   148.8   396.2   420.0   194.5  1152.2
1931   40.5   54.6  121.3  112.3  155.8  121.8   82.6  141.8  100.1   81.8   35.8   20.7   120.8   389.4   346.3   217.7  1069.1
1932   41.3   71.3   76.5  129.4  155.0  176.4  111.2  122.9   90.2   61.1   44.5   28.9   133.3   360.8   410.5   195.8  1108.6
1933   41.6   59.1  113.1   99.6  128.9  195.1  141.9  148.5  134.1   54.3   41.9   25.6   129.5   341.6   485.6   230.4  1183.8
1934   31.8   58.3  105.7  106.2  145.0  189.3  172.4  105.2  122.7   63.1   45.2   15.2   115.6   356.9   466.8   231.0  1159.9
1935   32.4   53.2  107.7  117.4  220.2  137.1  191.3  112.6  101.5   47.8   45.2   37.3   100.8   445.3   441.0   194.5  1203.6
1936   34.5   60.7   57.4  157.7  171.6  202.1  123.0  128.6   92.0   87.3   41.8   23.5   132.5   386.7   453.6   221.2  1180.2
1937   29.0   66.2  104.2   84.7  190.0  151.4  108.4  136.0  111.2   69.9   42.3   31.7   118.7   378.9   395.8   223.4  1125.0
1938   30.1   52.4   74.5  140.2  159.3  143.4  117.5  170.6   95.9   74.2   36.3   34.5   114.2   374.0   431.5   206.4  1128.8
1939   38.1   44.1   98.4  132.4  165.4  201.7   92.1  135.8  108.2   99.5   33.5   21.1   116.8   396.1   429.6   241.1  1170.2
1940   35.1   50.1   89.0  105.9  173.1  239.6  109.3  124.5  104.5   53.2   36.2   25.9   106.3   368.0   473.3   193.8  1146.2
1941   38.1   50.1  102.6   99.3  152.1  175.1  123.7  110.2   87.4   75.1   38.3   24.8   114.0   354.0   409.0   200.8  1076.7
1942   23.5   58.9   77.1  203.2  203.8  125.4  138.4   77.2  106.8   61.7   50.2   23.3   107.1   484.1   341.1   218.6  1149.4
1943   28.1   52.9  100.5  113.5  175.5  155.0  179.1   92.2   97.7   59.0   41.6   28.0   104.4   389.5   426.4   198.3  1123.2
1944   22.3   59.4   87.6  105.6  119.0  124.4  103.2  145.2  100.9   63.8   44.9   25.1   109.6   312.2   372.8   209.6  1001.3
1945   38.5   56.0   79.6  142.9  156.7  153.0  124.5  153.1   91.0   82.5   39.5   24.2   119.5   379.2   430.6   213.0  1141.5
1946   36.9   69.4   87.4  143.1  225.1  137.5  112.1  129.3   83.5   79.9   35.9   33.3   130.5   455.5   378.8   199.3  1173.1
1947   35.9   65.5   95.3  104.6  149.1  114.3  142.0  240.2   91.3   71.5   57.4   19.8   134.7   349.0   496.5   220.2  1186.9
1948   26.7   56.8  118.0  142.4  221.2  132.8  153.1   78.8  101.8   80.0   48.9   32.9   103.4   481.6   364.7   230.7  1193.4
1949   29.7   69.9  108.3  125.4  178.8  233.6  145.1  118.1  118.7   61.1   42.4   24.8   132.5   412.5   496.7   222.2  1255.8
1950   33.9   74.6   92.1  126.1  175.6  166.3  154.8  142.7   89.1   77.4   53.1   29.0   133.3   393.8   463.8   219.5  1214.6
1951   36.6   53.0   81.2  149.8  206.1  189.2  130.4  109.0  112.8   79.0   34.1   32.9   118.5   437.1   428.5   225.9  1214.0
1952   43.1   61.8   97.6  152.4  161.3  134.9  161.1  108.8   95.8   84.5   55.7   29.5   137.9   411.3   404.8   236.0  1186.5
1953   33.9   61.4  127.8  147.4  166.8  148.8  100.3  128.5   92.4   69.1   37.3   35.1   124.7   442.1   377.6   198.8  1148.8
1954   33.9   52.8  104.7  175.0  148.7  135.3  106.6   97.9  107.3   66.2   41.5   21.2   121.8   428.4   339.7   214.9  1091.0
1955   37.3   78.3  112.3  165.5  206.3  172.6  240.9  160.4  118.0   72.4   48.0   32.6   136.9   484.1   573.9   238.3  1444.4
1956   38.2   53.9  119.9  166.2  167.9  171.6  148.1  114.6   82.2   81.6   38.3   16.8   124.7   454.0   434.3   202.2  1199.5
1957   37.3   72.2   60.6  161.2  179.4  227.2   98.5  111.5  101.6   56.7   34.1   37.4   126.3   401.2   437.1   192.4  1177.7
1958   36.1   45.7   98.8  128.3  178.6  121.5  152.4  107.2  114.8   75.6   43.6   28.6   119.2   405.7   381.0   234.0  1131.2
1959   55.6   65.1   91.9  118.1  197.2  174.6  128.1  128.6  139.1   96.1   43.0   19.9   149.2   407.2   431.4   278.2  1257.4
1960   37.7   87.6   82.3  122.9  180.7  199.8  127.6  128.0  124.6   49.9   51.4   37.4   145.2   385.9   455.4   225.8  1229.9
1961   38.7   61.4   86.0  109.8  179.0  138.9   96.3  124.1  100.2   76.1   54.2   37.2   137.5   374.7   359.3   230.5  1101.7
1962   40.2   65.0  101.4  189.5  157.2  160.4  138.6  130.9   69.4   67.6   34.5   31.4   142.3   448.1   429.9   171.5  1186.0
1963   50.7   90.2   98.5  131.4  175.9  158.4  156.0   86.9  113.1   69.2   39.9   31.6   172.3   405.8   401.3   222.2  1201.9
1964   36.6   66.6   71.0  107.9  150.2  155.4  132.0  125.1  107.2   70.1   43.6   30.4   134.9   329.1   412.4   220.9  1096.1
1965   48.0   47.3  103.6  149.8  124.0  128.6  128.9  135.4   69.1   83.1   59.6   31.8   125.8   377.4   392.8   211.8  1109.1
1966   24.9   44.4   93.4  125.9  178.3  100.1  158.0  139.3   79.7   65.6   48.2   27.8   101.1   397.6   397.4   193.5  1085.6
1967   34.6   56.9   94.9  133.4  138.4  200.0  116.4  122.9   88.8   82.7   45.7   36.9   119.3   366.6   439.3   217.2  1151.5
1968   29.4   82.3   80.9  159.2  139.4  186.1  113.6  171.4   91.0   51.7   47.2   26.2   148.6   379.6   471.1   189.8  1178.4
1969   28.2   65.3   96.4  157.1  121.3  197.4  149.8  145.4  100.2   69.1   49.4   28.6   119.7   374.7   492.6   218.7  1208.1
1970   25.9   89.0  113.6  138.2  126.0  223.6   98.9  130.8   84.4   65.1   45.2   33.3   143.4   377.8   453.3   194.7  1174.0
1971   22.8   51.8   80.8  129.1  193.5  147.3  176.0  123.6  126.1   91.1   42.6   22.6   107.9   403.4   447.0   259.9  1207.4
1972   31.3   47.2  101.4  133.0  130.4  149.1  179.7  133.9  115.7   91.0   47.0   30.5   101.1   364.8   462.7   253.7  1190.3
1973   29.7   71.3  113.4  135.0  143.3  140.9  133.2  146.8  102.0   87.7   50.4   27.1   131.6   391.7   420.9   240.1  1180.8
1974   30.0   44.8   99.5  186.0  160.0  186.8  136.8  131.9  107.4   64.2   46.9   27.1   101.9   445.5   455.4   218.5  1221.3
1975   30.4   81.2  106.9  110.7  221.1  208.3  143.7  159.4   97.4   76.1   49.4   29.5   138.7   438.7   511.4   222.9  1314.1
1976   31.4   48.6   90.7  121.4  128.6  141.3  185.1  217.5   82.6   65.0   58.5   37.4   109.4   340.6   544.0   206.1  1208.1
1977   43.9   65.0   72.4  136.4  198.2  182.6  170.4  167.9   91.1   68.9   50.6   31.4   146.3   407.0   520.9   210.6  1278.9
1978   39.2   66.4   86.2  108.2  187.7  155.8  127.2   90.7   83.0   68.5   44.0   21.3   137.1   382.2   373.7   195.5  1078.2
1979   38.8   78.4   95.5  108.8  154.5  158.3  106.8  112.3  118.9   65.4   44.6   30.3   138.5   358.8   377.4   228.9  1112.6
1980   31.7   42.2   77.8  154.8  222.8  121.9  100.9   99.9   80.2   72.4   39.1   20.2   104.2   455.4   322.8   191.7  1064.0
1981   31.4   68.3   89.0  180.2  159.9  132.8  117.1  139.5  100.2   86.9   41.6   30.2   119.9   429.1   389.4   228.7  1177.0
1982   32.2   57.5  108.1  135.5  196.1  144.4  179.3  123.4   90.4   56.0   39.7   27.6   119.8   439.6   447.1   186.0  1190.0
1983   26.4   65.0   60.4  124.3  100.0  150.7  174.2  150.7   79.8   65.3   40.9   20.9   119.0   284.7   475.6   186.1  1058.6
1984   32.5   44.5   62.4  175.5  199.4  139.0  167.6  164.4   78.3   70.8   32.0   30.5    98.0   437.3   471.0   181.1  1196.9
1985   42.5   76.8   95.3  109.0  157.9  155.3  101.1  111.3   80.9   86.9   44.7   23.4   149.8   362.1   367.6   212.4  1084.9
1986   31.5   75.6  107.4  118.9  140.8  188.6  121.7  125.0  119.9   85.5   43.2   24.1   130.5   367.1   435.2   248.7  1182.2
1987   33.4   58.3  100.9  114.3  169.5  116.6  107.6  124.1  135.8   75.5   40.7   26.6   115.8   384.7   348.4   252.0  1103.3
1988   36.9   56.3   87.3  118.2  187.5  174.9  108.9  114.3  105.4   64.3   59.1   23.6   119.8   393.0   398.0   228.8  1136.6
1989   35.3   68.0   98.6  124.9  202.8  175.3  214.7  121.4  104.1   66.9   64.8   32.5   126.8   426.3   511.5   235.9  1309.4
1990   32.3   53.4   79.1  157.3  191.0  117.4  200.1  115.6   96.5   65.3   49.5   24.0   118.2   427.4   433.1   211.3  1181.5
1991   45.1   60.6   74.5  145.7  153.9  130.8  137.8  141.7  137.1   60.5   41.0   22.5   129.7   374.2   410.2   238.6  1151.2
1992   41.8   52.2   64.8   90.9  218.7  170.9  114.9  132.3   85.2   71.9   42.1   25.7   116.6   374.4   418.0   199.1  1111.4
1993   25.7   35.4   96.7  105.3  144.1  110.0  108.0  120.2  106.9   76.6   51.6   26.1    86.8   346.1   338.3   235.0  1006.6
